fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Angra dos Reis;2014;1;Interior;8;18;12;9
Aperibé;2014;1;Interior;0;0;0;0
Araruama;2014;1;Interior;9;16;4;4
Areal;2014;1;Interior;0;0;0;0
Armação dos Búzios;2014;1;Interior;2;9;10;2
Arraial do Cabo;2014;1;Interior;2;3;10;2
Barra do Piraí;2014;1;Interior;1;5;5;2
Barra Mansa;2014;1;Interior;4;20;10;11
Belford Roxo;2014;1;Baixada Fluminense;73;27;29;91
Bom Jardim;2014;1;Interior;0;1;2;0
Bom Jesus do Itabapoana;2014;1;Interior;0;0;1;0
Cabo Frio;2014;1;Interior;15;34;34;26
Cachoeiras de Macacu;2014;1;Interior;0;4;2;0
Cambuci;2014;1;Interior;0;1;1;0
Carapebus;2014;1;Interior;0;0;0;0
Comendador Levy Gasparian;2014;1;Interior;0;0;0;0
Campos dos Goytacazes;2014;1;Interior;26;56;49;41
Cantagalo;2014;1;Interior;0;1;1;0
Cardoso Moreira;2014;1;Interior;0;1;0;0
Carmo;2014;1;Interior;1;0;1;1
Casimiro de Abreu;2014;1;Interior;6;3;0;3
Conceição de Macabu;2014;1;Interior;0;2;0;1
Cordeiro;2014;1;Interior;0;0;1;0
Duas Barras;2014;1;Interior;0;0;0;0
Duque de Caxias;2014;1;Baixada Fluminense;340;74;57;202
Engenheiro Paulo de Frontin;2014;1;Interior;0;1;2;0
Guapimirim;2014;1;Baixada Fluminense;10;1;1;0
Iguaba Grande;2014;1;Interior;3;4;0;2
Itaboraí;2014;1;Interior;51;31;25;49
Itaguaí;2014;1;Baixada Fluminense;29;16;7;13
Italva;2014;1;Interior;0;0;0;0
Itaocara;2014;1;Interior;1;1;0;0
Itaperuna;2014;1;Interior;2;5;11;0
Itatiaia;2014;1;Interior;0;1;13;4
Japeri;2014;1;Baixada Fluminense;1;2;16;3
Laje do Muriaé;2014;1;Interior;0;0;1;0
Macaé;2014;1;Interior;42;36;16;23
Macuco;2014;1;Interior;0;0;0;0
Magé;2014;1;Baixada Fluminense;18;34;7;32
Mangaratiba;2014;1;Interior;4;7;1;5
Maricá;2014;1;Grande Niterói;14;19;12;16
Mendes;2014;1;Interior;0;0;0;0
Mesquita;2014;1;Baixada Fluminense;53;32;9;26
Miguel Pereira;2014;1;Interior;0;3;3;0
Miracema;2014;1;Interior;0;0;3;1
Natividade;2014;1;Interior;0;0;0;0
Nilópolis;2014;1;Baixada Fluminense;71;13;5;34
Niterói;2014;1;Grande Niterói;140;104;29;104
Nova Friburgo;2014;1;Interior;0;19;20;15
Nova Iguaçu;2014;1;Baixada Fluminense;259;46;35;81
Paracambi;2014;1;Baixada Fluminense;1;0;13;3
Paraíba do Sul;2014;1;Interior;2;6;1;2
Paraty;2014;1;Interior;1;4;5;1
Paty do Alferes;2014;1;Interior;0;0;0;0
Petrópolis;2014;1;Interior;0;23;30;15
Pinheiral;2014;1;Interior;1;0;1;0
Piraí;2014;1;Interior;0;3;2;1
Porciúncula;2014;1;Interior;0;0;1;0
Porto Real;2014;1;Interior;0;0;4;0
Quatis;2014;1;Interior;0;0;0;0
Queimados;2014;1;Baixada Fluminense;15;12;8;22
Quissamã;2014;1;Interior;3;4;0;6
Resende;2014;1;Interior;1;9;16;8
Rio Bonito;2014;1;Interior;7;5;4;5
Rio Claro;2014;1;Interior;0;3;0;2
Rio das Flores;2014;1;Interior;0;0;0;0
Rio das Ostras;2014;1;Interior;8;39;7;16
Rio de Janeiro;2014;1;Capital;1336;629;310;1011
Santa Maria Madalena;2014;1;Interior;0;0;0;0
Santo Antônio de Pádua;2014;1;Interior;2;5;11;3
São Francisco de Itabapoana;2014;1;Interior;2;5;0;3
São Fidélis;2014;1;Interior;0;1;3;1
São Gonçalo;2014;1;Grande Niterói;408;114;60;278
São João da Barra;2014;1;Interior;0;7;4;4
São João de Meriti;2014;1;Baixada Fluminense;204;41;9;102
São José de Ubá;2014;1;Interior;0;0;0;0
São José do Vale do Rio Preto;2014;1;Interior;0;0;0;0
São Pedro da Aldeia;2014;1;Interior;4;13;7;12
São Sebastião do Alto;2014;1;Interior;0;0;0;0
